first_name,last_name,filer_name,office,filing_date,report_title,report_id,report_key,filing_format,report_url
John,Boozman,John Boozman,"Boozman, John (Senator)",2026-09-11,Periodic Transaction Report for 09/11/2026,6298991b-e48f-4b11-9bbb-dfc94a7e1b32,6298991b-e48f-4b11-9bbb-dfc94a7e1b32,electronic_html,https://efdsearch.senate.gov/search/view/ptr/6298991b-e48f-4b11-9bbb-dfc94a7e1b32/
John,Boozman,John Boozman,"Boozman, John (Senator)",2026-09-11,Periodic Transaction Report for 09/11/2026,0632f542-7ac2-46e4-bd9c-603e3673f0cd,0632f542-7ac2-46e4-bd9c-603e3673f0cd,electronic_html,https://efdsearch.senate.gov/search/view/ptr/0632f542-7ac2-46e4-bd9c-603e3673f0cd/
John,Fetterman,John Fetterman,"Fetterman, John (Senator)",2026-09-09,Periodic Transaction Report for 09/10/2026,a0431e36-2161-4e97-b99a-74a966d7193a,a0431e36-2161-4e97-b99a-74a966d7193a,electronic_html,https://efdsearch.senate.gov/search/view/ptr/a0431e36-2161-4e97-b99a-74a966d7193a/
Cory A,Booker,Cory A Booker,"Booker, Cory (Senator)",2026-09-09,Periodic Transaction Report for 09/09/2026,e5144197-e49c-4f74-bec4-19f1f3124668,e5144197-e49c-4f74-bec4-19f1f3124668,electronic_html,https://efdsearch.senate.gov/search/view/ptr/e5144197-e49c-4f74-bec4-19f1f3124668/
Sheldon,Whitehouse,Sheldon Whitehouse,"Whitehouse, Sheldon (Senator)",2026-09-02,Periodic Transaction Report for 09/02/2026,f8d003c0-ca1e-4c39-9d66-632d220180e1,f8d003c0-ca1e-4c39-9d66-632d220180e1,electronic_html,https://efdsearch.senate.gov/search/view/ptr/f8d003c0-ca1e-4c39-9d66-632d220180e1/
RICHARD,BLUMENTHAL,RICHARD BLUMENTHAL,Senator,2026-08-31,Periodic Transaction Report for 08/31/2026,929216d5-5dbd-429c-858c-1e9332924627,929216d5-5dbd-429c-858c-1e9332924627,paper_scan,https://efdsearch.senate.gov/search/view/paper/929216d5-5dbd-429c-858c-1e9332924627/
Christopher A,Coons,Christopher A Coons,"Coons, Chris (Senator)",2026-08-28,Periodic Transaction Report for 08/28/2026,5a76ceb6-2d1d-4430-8a17-6512bcb402be,5a76ceb6-2d1d-4430-8a17-6512bcb402be,electronic_html,https://efdsearch.senate.gov/search/view/ptr/5a76ceb6-2d1d-4430-8a17-6512bcb402be/
David H,McCormick,David H McCormick,"McCormick, David H. (Senator)",2026-08-27,Periodic Transaction Report for 08/27/2026,257795ae-e1b2-411d-b562-8fe4c2a4f2a1,257795ae-e1b2-411d-b562-8fe4c2a4f2a1,electronic_html,https://efdsearch.senate.gov/search/view/ptr/257795ae-e1b2-411d-b562-8fe4c2a4f2a1/
John,Boozman,John Boozman,"Boozman, John (Senator)",2026-08-24,Periodic Transaction Report for 12/08/2025 (Amendment 1),51455bcd-4966-4e77-b481-09897ada81ae,51455bcd-4966-4e77-b481-09897ada81ae,electronic_html,https://efdsearch.senate.gov/search/view/ptr/51455bcd-4966-4e77-b481-09897ada81ae/
RICHARD,BLUMENTHAL,RICHARD BLUMENTHAL,Senator,2026-08-21,Periodic Transaction Report for 08/21/2026,ec20cd93-6702-4a29-b3a6-983f4b17f365,ec20cd93-6702-4a29-b3a6-983f4b17f365,paper_scan,https://efdsearch.senate.gov/search/view/paper/ec20cd93-6702-4a29-b3a6-983f4b17f365/
John,Boozman,John Boozman,"Boozman, John (Senator)",2026-08-20,Periodic Transaction Report for 05/14/2025 (Amendment 1),f727289a-4d72-4c90-a3ea-63d5bcd23398,f727289a-4d72-4c90-a3ea-63d5bcd23398,electronic_html,https://efdsearch.senate.gov/search/view/ptr/f727289a-4d72-4c90-a3ea-63d5bcd23398/
John,Boozman,John Boozman,"Boozman, John (Senator)",2026-08-17,Periodic Transaction Report for 08/17/2026,28e465df-caf1-4a98-8ebc-605e1e1ba99b,28e465df-caf1-4a98-8ebc-605e1e1ba99b,electronic_html,https://efdsearch.senate.gov/search/view/ptr/28e465df-caf1-4a98-8ebc-605e1e1ba99b/
John,Boozman,John Boozman,"Boozman, John (Senator)",2026-08-17,Periodic Transaction Report for 08/17/2026 (Amendment 1),4184cc9a-78e0-45f3-84f7-642011e6ff98,4184cc9a-78e0-45f3-84f7-642011e6ff98,electronic_html,https://efdsearch.senate.gov/search/view/ptr/4184cc9a-78e0-45f3-84f7-642011e6ff98/
John,Boozman,John Boozman,"Boozman, John (Senator)",2026-08-17,Periodic Transaction Report for 08/17/2026,4a558db2-e492-4e8f-8a28-7b703a5c8e08,4a558db2-e492-4e8f-8a28-7b703a5c8e08,electronic_html,https://efdsearch.senate.gov/search/view/ptr/4a558db2-e492-4e8f-8a28-7b703a5c8e08/
Mark R,Warner,Mark R Warner,"Warner, Mark (Senator)",2026-08-14,Periodic Transaction Report for 08/14/2026,047c4167-e0a9-44d4-a2bf-5477eb6b20ab,047c4167-e0a9-44d4-a2bf-5477eb6b20ab,electronic_html,https://efdsearch.senate.gov/search/view/ptr/047c4167-e0a9-44d4-a2bf-5477eb6b20ab/
Timothy P,Sheehy,Timothy P Sheehy,"Sheehy, Tim (Senator)",2026-08-13,Periodic Transaction Report for 08/14/2026,e15641c6-d632-4b7a-82d1-45c242b1515a,e15641c6-d632-4b7a-82d1-45c242b1515a,electronic_html,https://efdsearch.senate.gov/search/view/ptr/e15641c6-d632-4b7a-82d1-45c242b1515a/
Rick,Scott,Rick Scott,"Scott, Rick (Senator)",2026-08-13,Periodic Transaction Report for 03/03/2025 (Amendment 1),f0a05c3b-66e0-4287-a388-454e2b4c823d,f0a05c3b-66e0-4287-a388-454e2b4c823d,electronic_html,https://efdsearch.senate.gov/search/view/ptr/f0a05c3b-66e0-4287-a388-454e2b4c823d/
John,Fetterman,John Fetterman,"Fetterman, John (Senator)",2026-08-10,Periodic Transaction Report for 08/10/2026,c993b04b-6773-47e2-9b61-ab5dfe9e68b1,c993b04b-6773-47e2-9b61-ab5dfe9e68b1,electronic_html,https://efdsearch.senate.gov/search/view/ptr/c993b04b-6773-47e2-9b61-ab5dfe9e68b1/
Ron L,Wyden,Ron L Wyden,"Wyden, Ron (Senator)",2026-08-08,Periodic Transaction Report for 08/09/2026,5ecc9b5c-07c1-4ec1-bd4a-2db759eff299,5ecc9b5c-07c1-4ec1-bd4a-2db759eff299,electronic_html,https://efdsearch.senate.gov/search/view/ptr/5ecc9b5c-07c1-4ec1-bd4a-2db759eff299/
Gary C,Peters,Gary C Peters,"Peters, Gary (Senator)",2026-08-07,Periodic Transaction Report for 08/07/2026,328a9b36-1205-4117-bdc4-cd7c3ccbcbbc,328a9b36-1205-4117-bdc4-cd7c3ccbcbbc,electronic_html,https://efdsearch.senate.gov/search/view/ptr/328a9b36-1205-4117-bdc4-cd7c3ccbcbbc/
Thomas H,Tuberville,Thomas H Tuberville,"Tuberville, Tommy (Senator)",2026-08-05,Periodic Transaction Report for 01/15/2026 (Amendment 1),57cf1745-e3dd-4afd-8685-228153848631,57cf1745-e3dd-4afd-8685-228153848631,electronic_html,https://efdsearch.senate.gov/search/view/ptr/57cf1745-e3dd-4afd-8685-228153848631/
Thomas H,Tuberville,Thomas H Tuberville,"Tuberville, Tommy (Senator)",2026-08-05,Periodic Transaction Report for 11/15/2025 (Amendment 1),1a5e6752-653a-4b11-82b6-efd51d466bb6,1a5e6752-653a-4b11-82b6-efd51d466bb6,electronic_html,https://efdsearch.senate.gov/search/view/ptr/1a5e6752-653a-4b11-82b6-efd51d466bb6/
Thomas H,Tuberville,Thomas H Tuberville,"Tuberville, Tommy (Senator)",2026-08-05,Periodic Transaction Report for 05/15/2025 (Amendment 1),014817f0-9809-457f-8ac5-048948608e02,014817f0-9809-457f-8ac5-048948608e02,electronic_html,https://efdsearch.senate.gov/search/view/ptr/014817f0-9809-457f-8ac5-048948608e02/
Thomas H,Tuberville,Thomas H Tuberville,"Tuberville, Tommy (Senator)",2026-08-05,Periodic Transaction Report for 02/14/2025 (Amendment 1),d1afafd0-a78f-44ef-ae47-da99dfb01317,d1afafd0-a78f-44ef-ae47-da99dfb01317,electronic_html,https://efdsearch.senate.gov/search/view/ptr/d1afafd0-a78f-44ef-ae47-da99dfb01317/
